root : INFO : 2023-03-10 20:34:16,000 : {'_id': ObjectId('640c04489c18cd9cd1eede4c'), 'item': 'canvas', 'qty': 100, 'size': {'h': 28, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,003 : {'_id': ObjectId('640c04489c18cd9cd1eede4d'), 'item': 'journal', 'qty': 25, 'size': {'h': 14, 'w': 21, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,004 : {'_id': ObjectId('640c04489c18cd9cd1eede4e'), 'item': 'mat', 'qty': 85, 'size': {'h': 27.9, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,005 : {'_id': ObjectId('640c04489c18cd9cd1eede4f'), 'item': 'mousepad', 'qty': 25, 'size': {'h': 19, 'w': 22.85, 'uom': 'cm'}, 'status': 'P'}
root : INFO : 2023-03-10 20:34:16,010 : {'_id': ObjectId('640c04489c18cd9cd1eede50'), 'item': 'notebook', 'qty': 50, 'size': {'h': 8.5, 'w': 11, 'uom': 'in'}, 'status': 'P'}
root : INFO : 2023-03-10 20:34:16,011 : {'_id': ObjectId('640c04489c18cd9cd1eede53'), 'item': 'postcard', 'qty': 45, 'size': {'h': 10, 'w': 15.25, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,011 : {'_id': ObjectId('640c04489c18cd9cd1eede54'), 'item': 'sketchbook', 'qty': 80, 'size': {'h': 14, 'w': 21, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,012 : {'_id': ObjectId('640c04489c18cd9cd1eede55'), 'item': 'sketch pad', 'qty': 95, 'size': {'h': 22.85, 'w': 30.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,013 : {'_id': ObjectId('640c0483f8fe6163d71c4b09'), 'item': 'canvas', 'qty': 100, 'size': {'h': 28, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,013 : {'_id': ObjectId('640c0483f8fe6163d71c4b0a'), 'item': 'journal', 'qty': 25, 'size': {'h': 14, 'w': 21, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,013 : {'_id': ObjectId('640c0483f8fe6163d71c4b0b'), 'item': 'mat', 'qty': 85, 'size': {'h': 27.9, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,014 : {'_id': ObjectId('640c0483f8fe6163d71c4b0c'), 'item': 'mousepad', 'qty': 25, 'size': {'h': 19, 'w': 22.85, 'uom': 'cm'}, 'status': 'P'}
root : INFO : 2023-03-10 20:34:16,014 : {'_id': ObjectId('640c0483f8fe6163d71c4b0d'), 'item': 'notebook', 'qty': 50, 'size': {'h': 8.5, 'w': 11, 'uom': 'in'}, 'status': 'P'}
root : INFO : 2023-03-10 20:34:16,015 : {'_id': ObjectId('640c0483f8fe6163d71c4b10'), 'item': 'postcard', 'qty': 45, 'size': {'h': 10, 'w': 15.25, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,015 : {'_id': ObjectId('640c0483f8fe6163d71c4b11'), 'item': 'sketchbook', 'qty': 80, 'size': {'h': 14, 'w': 21, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,015 : {'_id': ObjectId('640c0483f8fe6163d71c4b12'), 'item': 'sketch pad', 'qty': 95, 'size': {'h': 22.85, 'w': 30.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,016 : {'_id': ObjectId('640c04c68a7f5a05a26ebeb3'), 'item': 'canvas', 'qty': 100, 'size': {'h': 28, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,016 : {'_id': ObjectId('640c04c68a7f5a05a26ebeb4'), 'item': 'journal', 'qty': 25, 'size': {'h': 14, 'w': 21, 'uom': 'cm'}, 'status': 'A'}
root : INFO : 2023-03-10 20:34:16,016 : {'_id': ObjectId('640c04c68a7f5a05a26ebeb5'), 'item': 'mat', 'qty': 85, 'size': {'h': 27.9, 'w': 35.5, 'uom': 'cm'}, 'status': 'A'}
